processed,month
dementia is tough to deal with see a doctor he can give you a note and you can go home back to your tower and your old life,4
if he ever did paranoia narcissism and dementia have eaten it all up,4
or donald trump vs hillary clinton for effects of syphilis dementia insomnia fantasy irritability weak risk assessment,4
he must be suffering from dementia the last guy lied like it was his job,4
should you visit your loved one every day via thx amp dementia amwriting,4
see this to me points to dementia his paraphasias appear absent or at least markedly less pronounced in older footage amp interviews,4
yeah and we wish you had a brain but no you have dementia,4
the kiss photos by lisa white show importance of love in lives of people with dementia,4
i think you are right i think he has a form of dementia too his repeating the same things over amp over again is a dead giveaway,4
new photos by lisa white launched for the kiss exhibit dementia amp love love this,4
in care for people w dementia or autism it comes to how creative you are in finding activity amp strategy which work for that person,4
people with dementia are human beings and they need love love and love,4
in care for people w dementia or autism it comes to how creative you are in finding activities amp strategies which work for that person,4
it is like living in the twilight zone or the dementia zone have not quite decided yet,4
many memorycare communities are turning to water exercise to keep residents active here is why,4
oh oh dementia,4
grandad was a competitive walker in his old age as well before the dementia started happening he was pretty darn fit i think it helped,4
yeah does not really fit w alz but he has a st deg fam hx i think it is a jambalaya of pd min ld prob dementia thoughts,4
